title,authors,pub_year,journal,keywords,dominant_topic,topic_name,what_this_paper_does
Artificial Intelligence and Machine Learning in Pharmacological Research: Bridging the Gap Between Data and Drug Discovery,"Shruti Singh, Rajesh Kumar, Shuvasree Payra, Sunil Kumar Singh",2023,Cureus,"Artificial intelligence, Repurposing, Deep learning, Medicine, Identification (biology), Machine learning, Computer science, Drug discovery, Data science, Big data, Precision medicine, Pharmacovigilance, Bioinformatics, Drug, Data mining, Pharmacology, Engineering, Pathology, Biology, Botany, Waste management",9,Viral Diseases & Molecular Medicine,No abstract available
A survey of applications of artificial intelligence and machine learning in future mobile networks-enabled systems,"İbrahim Yazıcı, Ibraheem Shayea, Jafri Din",2023,Engineering Science and Technology an International Journal,"Computer science, Big data, Artificial intelligence, Field (mathematics), Machine learning, Data science, Data mining, Mathematics, Pure mathematics",7,Healthcare Services & Patient Care Research,"In this sense, this paper provides a survey of machine learning and artificial intelligence applications for different use cases enabled by future mobile communication systems."
What does the public think about artificial intelligence?—A criticality map to understand bias in the public perception of AI,"Philipp Brauner, Alexander Hick, Ralf Philipsen, Martina Ziefle",2023,Frontiers in Computer Science,"Perception, Admiration, Attribution, Psychology, Diversity (politics), Corporate governance, Identification (biology), Social psychology, Artificial intelligence, Political science, Computer science, Business, Botany, Finance, Law, Neuroscience, Biology",8,Machine Learning in Clinical Data Analysis,"Understanding the public perception of AI, as well as its requirements and attributions, is essential for responsible research and innovation and enables aligning the development and governance of future AI systems with individual and societal needs."
Artificial intelligence chatbots will revolutionize how cancer patients access information: ChatGPT represents a paradigm-shift,"Ashley M. Hopkins, Jessica M. Logan, Ganessan Kichenadasse, Michael J. Sorich",2023,JNCI Cancer Spectrum,"Paradigm shift, Health care, Medicine, Quality (philosophy), Data science, Computer science, Economic growth, Economics, Philosophy, Epistemology",19,Medical Data Modeling & Predictive Healthcare,"In our assessments, ranging from answering basic fact-based questions to responding to complex clinical questions, ChatGPT demonstrated a remarkable ability to formulate interpretable responses, which appeared to minimize the likelihood of alarm compared with Google's feature snippet."
Integrating Artificial Intelligence and Wearable IoT System in Long-Term Care Environments,"Wei‐Hsun Wang, Wen-Shin Hsu",2023,Sensors,"Health care, Wearable computer, Wearable technology, Knowledge management, System integration, Service (business), Information and Communications Technology, Computer science, Engineering, Business, World Wide Web, Embedded system, Operating system, Marketing, Economics, Economic growth",7,Healthcare Services & Patient Care Research,"With the rapid advancement of information and communication technology (ICT), big data, and artificial intelligence (AI), intelligent healthcare systems have emerged, including the integration of healthcare systems with capital, the introduction of healthcare systems into long-term care institutions, and the integration of measurement data for care or exposure."
"Artificial Intelligence of Things for Smarter Healthcare: A Survey of Advancements, Challenges, and Opportunities","Stephanie Baker, Wei Xiang",2023,IEEE Communications Surveys & Tutorials,"Health care, Data science, Engineering ethics, Computer science, Engineering, Political science, Law",11,Digital Health Data Analytics & Research Methods,"Due to these high volumes of data, a natural synergy with Artificial Intelligence (AI) has become apparent – big data both enables and requires AI to interpret, understand, and make decisions that provide optimal outcomes."
Impact of digital health literacy on health-related quality of life in Chinese community-dwelling older adults: the mediating effect of health-promoting lifestyle,"Siqi Liu, LU Ya, Dan Wang, Xiaochong He, Wei Ren, Dehui Kong, Yu Luo",2023,Frontiers in Public Health,"Health literacy, Gerontology, Medicine, Quality of life (healthcare), Public health, Context (archaeology), Environmental health, Health care, Nursing, Biology, Paleontology, Economic growth, Economics",15,Artificial Intelligence in Healthcare Systems,"It is suggested that relevant management institutions, communities and families should strengthen the cultivation of the digital health literacy of older adults, promote their development of health-promoting lifestyle, and ultimately improve HRQoL."
Predicting and Empowering Health for Generation Z by Comparing Health Information Seeking and Digital Health Literacy: Cross-Sectional Questionnaire Study,"Wen Jiao, Angela Chang, Mary Ho, Qianfeng Lu, Matthew Tingchi Liu, Peter J. Schulz",2023,Journal of Medical Internet Research,"Health Information National Trends Survey, Health literacy, Digital health, Information seeking, The Internet, Empowerment, Information seeking behavior, Psychology, Health care, Population, Literacy, Medical education, Medicine, Environmental health, Health information, Computer science, World Wide Web, Political science, Library science, Pedagogy, Law",15,Artificial Intelligence in Healthcare Systems,This study examined and compared the health information-seeking behaviors of Generation Z and older individuals to improve their digital health literacy and health empowerment.
Access to Technology and Digital Literacy as Determinants of Health and Health Care,Ryan J. Shaw,2023,Creative Nursing,"Digital health, Digital divide, Health equity, Telehealth, Disadvantaged, Health care, Equity (law), Digital literacy, Literacy, Public relations, Business, Health literacy, Universal design, Telemedicine, Internet privacy, Political science, Economic growth, Sociology, Information and Communications Technology, Computer science, Pedagogy, World Wide Web, Economics, Law",8,Machine Learning in Clinical Data Analysis,"Access to and the skills to use technology provide the digital equity necessary for civic and cultural participation, employment, lifelong learning, and access to essential services."
Digital Education for the Deployment of Artificial Intelligence in Health Care,"Fernando Korn Malerbi, Luis Filipe Nakayama, Robyn Gayle Dychiao, Lucas Zago Ribeiro, Cleva Villanueva, Leo Anthony Celi, Caio V. Regatieri",2023,Journal of Medical Internet Research,"Digital health, Health care, Functional illiteracy, Software deployment, Workflow, Curriculum, Health informatics, Knowledge management, Certification, Clinical decision support system, Digital transformation, Computer science, Medical education, Artificial intelligence, Psychology, Medicine, World Wide Web, Political science, Pedagogy, Decision support system, Database, Law, Operating system",8,Machine Learning in Clinical Data Analysis,"To promote safe and effective AI implementation, health care professionals must acquire basic knowledge of machine learning and neural networks, critical evaluation of data sets, integration within clinical workflows, bias control, and human-machine interaction in clinical settings."
Digital Transformation in Toxicology: Improving Communication and Efficiency in Risk Assessment,"Ajay Vikram Singh, Girija Bansod, Mihir Mahajan, Paul Dietrich, Shivam Pratap Singh, Kranti Rav, Andreas Thißen, Aadya Mandar Bharde, Dirk Rothenstein, Shilpa Kulkarni, Joachim Bill",2023,ACS Omega,"Risk assessment, Computer science, Risk analysis (engineering), Emerging technologies, Transparency (behavior), Data science, Wearable computer, Artificial intelligence, Computer security, Medicine, Embedded system",7,Healthcare Services & Patient Care Research,"Robotics, smart agriculture, and smart food and feedstock offer new opportunities for collecting, analyzing, and evaluating data, while wearable devices can predict toxicity and monitor health-related issues."
Artificial Intelligence and Ten Societal Megatrends: An Exploratory Study Using GPT-3,"Daniela Haluza, David Jungwirth",2023,Systems,"Globalization, Urbanization, Emerging technologies, Exploratory research, Population, Computer science, Political science, Artificial intelligence, Economic growth, Sociology, Economics, Social science, Law, Demography",8,Machine Learning in Clinical Data Analysis,"This paper examines the potential of artificial intelligence (AI) to address societal megatrends, with a specific focus on OpenAI’s Generative Pre-Trained Transformer 3 (GPT-3)."
Effectiveness of Digital Health Literacy Interventions in Older Adults: Single-Arm Meta-Analysis,"Qian Dong, Ting Liu, Ran Liu, Hongxia Yang, Cuiping Liu",2023,Journal of Medical Internet Research,"eHealth, Psychological intervention, Medicine, Randomized controlled trial, Health literacy, Meta-analysis, Cochrane Library, Gerontology, MEDLINE, Digital health, Health care, Physical therapy, Nursing, Political science, Economics, Surgery, Internal medicine, Law, Economic growth",1,Molecular Biology & Gene–Protein Interactions,PROSPERO International Prospective Register of Systematic Reviews CRD42023410204; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=410204.
Artificial intelligence and digital medicine for integrated home care services in Italy: Opportunities and limits,"Mariano Cingolani, Roberto Scendoni, Piergiorgio Fedeli, Fabio Cembrani",2023,Frontiers in Public Health,"Telemedicine, Health care, Digital health, Service (business), Context (archaeology), Digitization, Population, Computer science, Knowledge management, Artificial intelligence, Medicine, Business, Telecommunications, Marketing, Environmental health, Economics, Paleontology, Economic growth, Biology",18,Cancer Risk & Clinical Treatment Studies,"In this paper authors describe some digital and healthcare tools or system of AI, such as the Connected Care model, the Home Care Premium (HCP) project, The Resilia App and some professional service robotics."
Smart product-service systems in the healthcare industry: Intelligent connected products and stakeholder communication drive digital health service adoption,"Yeneneh Tamirat Negash, Liria Salome Calahorrano Sarmiento",2023,Heliyon,"Stakeholder, Knowledge management, Digital health, Health care, Product (mathematics), Service (business), Business, Identification (biology), Product-service system, Process management, Reliability (semiconductor), Computer science, Marketing, Public relations, Economics, Biology, Power (physics), Mathematics, Political science, Geometry, Quantum mechanics, Physics, Botany, Economic growth, Business model",9,Viral Diseases & Molecular Medicine,No abstract available
Artificial intelligence in cancer diagnosis and therapy: Current status and future perspective,"Muhammad Sufyan, Zeeshan Shokat, Usman Ali Ashfaq",2023,Computers in Biology and Medicine,"Context (archaeology), Disease, Artificial intelligence, Computer science, Mechanism (biology), Precision medicine, Medicine, Cancer, Data science, Intensive care medicine, Pathology, Biology, Internal medicine, Paleontology, Epistemology, Philosophy",9,Viral Diseases & Molecular Medicine,No abstract available
"MedMetaverse: Medical Care of Chronic Disease Patients and Managing Data Using Artificial Intelligence, Blockchain, and Wearable Devices State-of-the-Art Methodology","Dileep Kumar Murala, Sandeep Kumar Panda, Sujata Priyambada Dash",2023,IEEE Access,"Wearable computer, Computer science, Variety (cybernetics), Health care, Wearable technology, Big data, Data sharing, Internet privacy, Data science, Artificial intelligence, Medicine, Operating system, Economic growth, Alternative medicine, Pathology, Economics, Embedded system",18,Cancer Risk & Clinical Treatment Studies,"The management of chronic diseases is currently being rethought in light of the development of technology known together as ""Smart Healthcare."" A prime example is state-of-the-art wearable technology that incentivizes people to embrace healthier lifestyles through the monitoring of physiological indicators and metabolic processes."
"ChatGPT in action: Harnessing artificial intelligence potential and addressing ethical challenges in medicine, education, and scientific research","Madhan Jeyaraman, Swaminathan Ramasubramanian, Sangeetha Balaji, Naveen Jeyaraman, Arulkumar Nallakumarasamy, Sanjay Sharma",2023,World Journal of Methodology,"Transparency (behavior), Engineering ethics, Accountability, Applications of artificial intelligence, Software deployment, Health care, Computer science, Psychology, Knowledge management, Political science, Artificial intelligence, Engineering, Computer security, Operating system, Law",19,Medical Data Modeling & Predictive Healthcare,"Evidence demonstrates its capability at a medical student level in standardized tests, suggesting utility in medical education, radiology reporting, genetics research, data optimization, and drafting repetitive texts such as discharge summaries."
Challenges of Deep Learning in Medical Image Analysis—Improving Explainability and Trust,"Tribikram Dhar, Nilanjan Dey, Surekha Borra, R. Simon Sherratt",2023,IEEE Transactions on Technology and Society,"Deep learning, Artificial intelligence, Computer science, Unavailability, Health care, Adversarial system, Robustness (evolution), Flourishing, Autonomy, Medical imaging, Domain (mathematical analysis), Deep neural networks, Data science, Machine learning, Engineering, Psychology, Reliability engineering, Psychotherapist, Law, Political science, Economics, Gene, Mathematics, Economic growth, Mathematical analysis, Biochemistry, Chemistry",5,Infectious Diseases (HIV & Lung Infections),"This paper traverses the major challenges that the deep learning community of researchers and engineers faces, particularly in medical image diagnosis, like the unavailability of balanced annotated medical image data, adversarial attacks faced by deep neural networks and architectures due to noisy medical image data, a lack of trustability among users and patients, and ethical and privacy issues related to medical data."
Applied Artificial Intelligence,"Swati Shinde, Varsha Bendre, D. Jude Hemanth, Mohammad Ali Balafar",2023,Unknown Source,"Computer science, Artificial intelligence",7,Healthcare Services & Patient Care Research,Part III focuses on the use of cyber-physical systems that facilitates computing anywhere by using Medical IoT and biosensors and the numerous applications of this technology in the healthcare domain.
Using ChatGPT to write patient clinic letters,"Stephen R Ali, Thomas D. Dobbs, Hayley Hutchings, Iain S. Whitaker",2023,The Lancet Digital Health,"Computer science, Artificial intelligence, Natural language processing, Paragraph, Chatbot, Transformer, General partnership, World Wide Web, Engineering, Voltage, Electrical engineering, Economics, Finance",19,Medical Data Modeling & Predictive Healthcare,"To simulate how clinicians might use ChatGPT in the clinical environment we created shorthand instructions to input into the chatbot, which we defined as limited clinical input, because the input is small compared with the relative amount of natural free text a clinician would otherwise be required to write or dictate to generate a clinical letter."
Learning From Experience and Finding the Right Balance in the Governance of Artificial Intelligence and Digital Health Technologies,"Stephen Gilbert, Stuart Anderson, Martin Daumer, Phoebe Li, Tom Melvin, Robin Williams",2023,Journal of Medical Internet Research,"Digital health, Balance (ability), Corporate governance, Artificial intelligence, Psychology, Computer science, Knowledge management, Public relations, Political science, Business, Health care, Neuroscience, Law, Finance",8,Machine Learning in Clinical Data Analysis,"We describe the divergent approaches of the European Union and the United States in the implementation of new regulatory approaches in digital health, and we consider the United Kingdom as a third example, which is in a unique position of developing a new post-Brexit regulatory framework."
Providing Self-Led Mental Health Support Through an Artificial Intelligence–Powered Chat Bot (Leora) to Meet the Demand of Mental Health Care,"Emma L. van der Schyff, Brad Ridout, Krestina L. Amon, Rowena Forsyth, Andrew Campbell",2023,Journal of Medical Internet Research,"Mental health, Software deployment, Health care, Digital health, Psychology, Computer science, Internet privacy, Psychiatry, Economic growth, Operating system, Economics",8,Machine Learning in Clinical Data Analysis,The aim of this viewpoint paper is to consider the feasibility of AI-powered platforms to support mental well-being.
"Connected and Automated Vehicles: Infrastructure, Applications, Security, Critical Challenges, and Future Aspects","Memoona Sadaf, Zafar Iqbal, Abdul Rehman Javed, Irum Saba, Moez Krichen, Sajid Majeed, Arooj Raza",2023,Technologies,"SAFER, Computer security, Context (archaeology), Computer science, Cloud computing, Authentication (law), Emerging technologies, Risk analysis (engineering), Business, Biology, Paleontology, Artificial intelligence, Operating system",7,Healthcare Services & Patient Care Research,"Moreover, this research provides an overview of cyber attacks affecting autonomous vehicles, attack management, traditional security devices, threat modeling, authentication schemes, over-the-air updates, zero-trust architectures, data privacy, and the corresponding defensive strategies to mitigate such risks."
Artificial intelligence and the doctor–patient relationship expanding the paradigm of shared decision making,"Giorgia Lorenzini, Laura Arbelaez Ossa, David Shaw, Bernice S. Elger",2023,Bioethics,"Psychology, Medical decision making, Medicine, Family medicine",6,Social Media & Digital Health Communication,This paper analyses the role of AI-based CDSS for shared decision-making to better comprehend its promises and associated ethical issues.
An Improved AI-Based Secure M-Trust Privacy Protocol for Medical Internet of Things in Smart Healthcare System,"K. Sakthidasan Sankaran, Tai-hoon Kim, P. N. Renjith",2023,IEEE Internet of Things Journal,"Computer science, Computer security, Protocol (science), Cryptography, Cryptographic protocol, Scalability, Information privacy, Internet privacy, Computer network, Database, Alternative medicine, Pathology, Medicine",18,Cancer Risk & Clinical Treatment Studies,The SMP protocol has been designed to work with the smart health care monitoring system to provide a secure and private communication channel between devices in the system.
"Artificial intelligence education: An evidence-based medicine approach for consumers, translators, and developers","Faye Yu Ci Ng, Arun James Thirunavukarasu, Haoran Cheng, Ting Fang Tan, Laura Gutiérrez, Yanyan Lan, Jasmine Chiat Ling Ong, Yap Seng Chong, Kee Yuan Ngiam, Dean Ho, Tien Yin Wong, Kenneth Kwek, Finale Doshi‐Velez, Catherine R. Lucey, Thomas M. Coffman, Daniel Shu Wei Ting",2023,Cell Reports Medicine,"Curriculum, Workforce, Health care, Knowledge management, Literacy, Medical education, Applications of artificial intelligence, Baseline (sea), Computer science, Psychology, Medicine, Artificial intelligence, Pedagogy, Political science, Law",8,Machine Learning in Clinical Data Analysis,"We outline a core curriculum for AI education of future consumers, translators, and developers, emphasizing the links between AI and EBM, with suggestions for how teaching may be integrated into existing curricula."
Artificial Intelligence driven security model for Internet of Medical Things (IoMT),"Cuddapah Anitha, C R Komala, Chettiyar Vani Vivekanand, S. D. Lalitha, Sampath Boopathi, R. Revathi",2023,Unknown Source,"Computer science, The Internet, Decision tree, Artificial intelligence, Server, Computer security, Cloud computing, Machine learning, Computer network, World Wide Web, Operating system",11,Digital Health Data Analytics & Research Methods,"Under the proposed plan, only authorized users will be able to access private and sensitive patient information, and unauthorized users will be unable to access a secure healthcare network."
AI-Based and Digital Mental Health Apps: Balancing Need and Risk,"Salah Hamdoun, Rebecca Monteleone, Terri Bookman, Katina Michael",2023,IEEE Technology and Society Magazine,"Mental healthcare, Chatbot, Mental health, Artificial intelligence, Computer science, Internet privacy, Psychology, Psychiatry",10,Mobile Health (mHealth) Applications & Health Apps,"The COVID-19 pandemic further revealed critical gaps in existing mental health services as factors such as job losses and corresponding financial issues, prolonged physical illness and death, and physical isolation led to a sharp rise in mental health conditions <xref ref-type=""bibr"" rid=""ref2"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">[2]</xref> ."
Transforming Healthcare: Harnessing the Power of AI in the Modern Era,"Sanjay A. Patil, Harish Shankar",2023,International Journal of Multidisciplinary Sciences and Arts,"Health care, Power (physics), Data science, Political science, Computer science, Physics, Quantum mechanics, Law",16,"Large Language Models in Healthcare (ChatGPT, LLMs)",This study examines the advantages and prospects of collaborating with healthcare professionals to improve healthcare outcomes.
Healthcare Trust Evolution with Explainable Artificial Intelligence: Bibliometric Analysis,"Pummy Dhiman, Anupam Bonkra, Amandeep Kaur, Yonis Gulzar, Yasir Hamid, Mohammad Shuaib Mir, Arjumand Bano Soomro, Osman Elwasila",2023,Information,"Scopus, Health care, Field (mathematics), Computer science, Data science, Big data, Bibliometrics, Knowledge management, Management science, MEDLINE, Data mining, Political science, Engineering, Law, Pure mathematics, Mathematics",5,Infectious Diseases (HIV & Lung Infections),"In this study, we examined global developments in empirical XAI research in the medical field."
Digital Health Communication With Artificial Intelligence-Based Cyber Security,"Amit Kumar Tyagi, V. Hemamalini, Gulshan Soni",2023,Advances in medical technologies and clinical practice book series,"Computer security, Computer science, Domain (mathematical analysis), Health care, Information security, Economic growth, Mathematical analysis, Mathematics, Economics",11,Digital Health Data Analytics & Research Methods,"Digital health communication (DHC) has become an increasingly popular domain of the healthcare industry, enabling effective and efficient communication between healthcare providers, patients, and other stakeholders."
The Representation of Trust in Artificial Intelligence Healthcare Research,"Jan-Oliver Kutza, Niels Hannemann, Ursula Hübner, Birgit Babitsch",2023,Studies in health technology and informatics,"Relevance (law), Field (mathematics), Health care, Computer science, Representation (politics), Process (computing), Data science, Big data, Applications of artificial intelligence, Artificial intelligence, Knowledge management, Political science, Data mining, Mathematics, Operating system, Pure mathematics, Law, Politics",5,Infectious Diseases (HIV & Lung Infections),"For this purpose, a bibliometric analysis relying on 12985 article abstracts was conducted to derive a co-occurrence network which can be used to show former and current scientific endeavors in the field of healthcare based AI research and to provide insight into underrepresented research fields."
"Clinicians’ Perceptions of Artificial Intelligence: Focus on Workload, Risk, Trust, Clinical Decision Making, and Clinical Integration","Hamid Shamszare, Avishek Choudhury",2023,Healthcare,"Workload, Health care, Perception, Psychology, Artificial intelligence, Specialty, Healthcare industry, Medical diagnosis, Knowledge management, Computer science, Medicine, Psychiatry, Neuroscience, Economic growth, Pathology, Economics, Operating system",5,Infectious Diseases (HIV & Lung Infections),"In conclusion, this study underscores the necessity of strategic AI integration into healthcare."
A Machine Learning-Combined Flexible Sensor for Tactile Detection and Voice Recognition,"Jiawang Xie, Yuzhi Zhao, Dezhi Zhu, Jianfeng Yan, Jiaqun Li, Ming Qiao, Guangzhi He, Shengfa Deng",2023,ACS Applied Materials & Interfaces,"Materials science, Tactile sensor, Speech recognition, Artificial intelligence, Computer science, Robot",7,Healthcare Services & Patient Care Research,"Here, we develop a machine learning-combined flexible sensor for real-time tactile sensing and voice recognition through laser-induced graphitization."
Explainable AI in medical imaging: An overview for clinical practitioners – Saliency-based XAI approaches,"Katarzyna Borys, Yasmin Alyssa Schmitt, Meike Nauta, Christin Seifert, Nicole C. Krämer, Christoph M. Friedrich, Felix Nensa",2023,European Journal of Radiology,"Field (mathematics), Identification (biology), Limiting, Data science, Health care, Computer science, Medicine, Medical imaging, Artificial intelligence, Biology, Engineering, Economic growth, Mathematics, Economics, Mechanical engineering, Pure mathematics, Botany",9,Viral Diseases & Molecular Medicine,No abstract available
"Artificial intelligence and clinical decision support: clinicians’ perspectives on trust, trustworthiness, and liability","Caroline Jones, James Thornton, Jeremy C Wyatt",2023,Medical Law Review,"CLARITY, Harm, Trustworthiness, Liability, Meaning (existential), Economic shortage, Psychology, Perspective (graphical), Internet privacy, Public relations, Medicine, Knowledge management, Political science, Social psychology, Computer science, Artificial intelligence, Law, Linguistics, Biochemistry, Chemistry, Philosophy, Psychotherapist, Government (linguistics)",8,Machine Learning in Clinical Data Analysis,"Through unpacking these concepts, we gain greater clarity over the meaning ascribed to them by stakeholders; delimit the extent to which stakeholders are talking at cross purposes; and promote the continued utility of trust and trustworthiness as useful concepts in current debates around the use of AI and CDSSs."
Artificial intelligence to enhance clinical value across the spectrum of cardiovascular healthcare,"Simrat Gill, Andreas Karwath, Hae‐Won Uh, Victor Roth Cardoso, Z. Gu, Andrey Barsky, Luke T. Slater, Animesh Acharjee, Jinming Duan, Lorenzo Dall’Olio, Said el Bouhaddani, Saisakul Chernbumroong, Mary Stanbury, Sandra Haynes, Folkert W. Asselbergs, Diederick E. Grobbee, Marinus J.C. Eijkemans, Georgios V. Gkoutos, Dipak Kotecha, Karina V Bunting, Otilia Țica, Alastair Mobley, Xiaoxia Wang, Sebastian Fox, N. Haider, Maximina Ventura, Alice M. Young, Paul McGreavy, Gastone Castellani, William Bradlow, Declan P. O’Regan",2023,European Heart Journal,"Medicine, Value (mathematics), Health care, Cardiovascular health, Intensive care medicine, Internal medicine, Machine learning, Disease, Economic growth, Computer science, Economics",5,Infectious Diseases (HIV & Lung Infections),"Following a clear research hypothesis, an AI-based workflow begins with data selection and pre-processing prior to analysis, with the type of data (structured, semi-structured, or unstructured) determining what type of pre-processing steps and machine-learning algorithms are required."
Fair and equitable AI in biomedical research and healthcare: Social science perspectives,"Renate Baumgartner, Payal Arora, Corinna Bath, Darja Burljaev, Kinga Ciereszko, Bart Custers, Jin Ding, Waltraud Ernst, Eduard Fosch‐Villaronga, Vassilis Galanos, Thomas Gremsl, Tereza Hendl, Cordula Kropp, Christian Lenk, Paul Martin, Somto Mbelu, Sara Morais dos Santos Bruss, Karolina Napiwodzka, Ewa Nowak, Tiara Roxanne, Silja Samerski, David Schneeberger, Karolin Tampe-Mai, Katerina Vlantoni, Kevin Wiggert, Robin Williams",2023,Artificial Intelligence in Medicine,"Health care, Unintended consequences, Engineering ethics, Medical research, Healthcare system, Position paper, Computer science, Public relations, Political science, Knowledge management, Sociology, Medicine, Engineering, Law, Pathology, World Wide Web",9,Viral Diseases & Molecular Medicine,No abstract available
Artificial Intelligence Integrated with Big Data Analytics for Enhanced Marketing,"S. Rama Krishna, Ketan Rathor, Jarabala Ranga, Anita Soni, D Srinivas, Anil Kumar N",2023,Unknown Source,"Big data, Marketing and artificial intelligence, Variety (cybernetics), Business intelligence, Data science, Computer science, Web intelligence, Globe, Government (linguistics), Artificial intelligence, Analytics, Knowledge management, The Internet, Marketing, Business, World Wide Web, Intelligent decision support system, Ophthalmology, Linguistics, Web development, Operating system, Philosophy, Medicine",7,Healthcare Services & Patient Care Research,"Yet, a detailed review of the study's findings might emphasize the significance of AI and big data in marketing and suggest future research areas in this sector."
Digital health literacy and subjective wellbeing in the context of COVID-19: A cross-sectional study among university students in Ecuador,"María F. Rivadeneira, Carmen Salvador Coloma, Lorena Araujo, José D. Caicedo-Gallardo, José Cóndor, Ana Lucía Torres-Castillo, María J. Miranda-Velasco, Kevin Dadaczynski, Orkan Okan",2023,Frontiers in Public Health,"Cross-sectional study, Coronavirus disease 2019 (COVID-19), Context (archaeology), Health literacy, 2019-20 coronavirus outbreak, Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), Literacy, Medicine, Medical education, Psychology, Family medicine, Geography, Pedagogy, Political science, Virology, Health care, Disease, Outbreak, Archaeology, Pathology, Law, Infectious disease (medical specialty)",15,Artificial Intelligence in Healthcare Systems,"It is suggested strengthen the digital health literacy through public and university policies that promote access, search skills and discernment of digital information."
"Performance and exploration of ChatGPT in medical examination, records and education in Chinese: Pave the way for medical AI","Hongyan Wang, WeiZhen Wu, Zhi Dou, Liangliang He, Liqiang Yang",2023,International Journal of Medical Informatics,"Fluency, Verbal fluency test, Context (archaeology), Medical record, China, Medical education, Medicine, Psychology, Cognition, Internal medicine, Neuropsychology, Psychiatry, Mathematics education, Law, Paleontology, Biology, Political science",9,Viral Diseases & Molecular Medicine,No abstract available
Data infrastructures for AI in medical imaging: a report on the experiences of five EU projects,"Haridimos Kondylakis, Varvara Kalokyri, Stelios Sfakianakis, Kostas Marias, Manolis Tsiknakis, Ana Jiménez-Pastor, Eduardo Camacho-Ramos, Ignácio Blanquer, J. Damián Segrelles, Sergio López-Huguet, Caroline Barelle, Magdalena Kogut-Czarkowska, Gianna Tsakou, Nikolaos Siopis, Zisis Sakellariou, Paschalis Bizopoulos, Vicky Drossou, Antonios Lalas, Konstantinos Votis, Pedro Mallol, Luis Martí‐Bonmatí, L. Cerdá Alberich, Karine Seymour, Samuel Boucher, Esther Ciarrocchi, Lauren A. Fromont, Jordi Rambla, Alexander Harms, A. Gutiérrez, Martijn P. A. Starmans, Fred Prior, Josep Lluís Gelpí, Karim Lekadir",2023,European Radiology Experimental,"Metadata, European union, Computer science, Data sharing, Data science, Health care, Data access, Big data, Data curation, Medicine, World Wide Web, Business, Data mining, Database, Political science, Pathology, Law, Alternative medicine, Economic policy",9,Viral Diseases & Molecular Medicine,No abstract available
Digital Literacy 5.0 to Enhance Multicultural Education,"Dito Anurogo, Hardin La Ramba, Nabila Diyana Putri, Ulfah Mahardika Pramono Putri",2023,Multicultural Islamic Education Review,"Digital literacy, Competence (human resources), Literacy, Cornerstone, Multidisciplinary approach, Knowledge management, Health care, Telemedicine, Engineering ethics, Public relations, Political science, Sociology, Engineering, Psychology, Computer science, Pedagogy, Social science, Geography, Archaeology, Social psychology, Law",15,Artificial Intelligence in Healthcare Systems,"Emphasizing the necessity of digital literacy not just as a skill for tool utilization but as a cornerstone for understanding and leveraging the potential of digital technologies, this comprehensive exploration underscores the critical role of digital competence in enhancing patient outcomes, driving economic growth, spurring innovation, and revolutionizing healthcare and surgical practices."
"Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago Palma Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. de Sousa Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas Lisboa dos Santos, Marco A S Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick Giovani Sperandio Nascimento",2023,Big Data and Cognitive Computing,"Computer science, Machine learning, Identification (biology), Systematic review, Scopus, Selection bias, Preprocessor, Artificial intelligence, Data mining, Data science, Mathematics, Political science, MEDLINE, Botany, Statistics, Biology, Law",5,Infectious Diseases (HIV & Lung Infections),This study examines the current knowledge on bias and unfairness in machine learning models.
Digital Health Literacy and Web-Based Health Information-Seeking Behaviors in the Saudi Arabian Population,"Anas Alhur, Afrah Alhur, Muteb Alshammari, Arwa Alhur, Wafa Bin Shamlan, Muhannad Alqahtani, Samia Alhabsi, Rusmawati Raja Hassan, Ebtehal Baawadh, Shahad Alahmari, Noura Alshahrani, Rana Alwadae, Esra Abdalla, Hadeel Abuali, Malath Alshahrani",2023,Cureus,"Health literacy, Digital health, Digital literacy, Context (archaeology), Population, Literacy, Medical education, Information literacy, Health care, Health equity, Psychology, Public relations, Medicine, Political science, Environmental health, Geography, Pedagogy, Archaeology, Law",9,Viral Diseases & Molecular Medicine,No abstract available
"Health literacy, numeracy, graph literacy, and digital literacy: an overview of definitions, evaluation methods, and best practices","Meghan Reading Turchioe, Sabrina Mangal",2023,European Journal of Cardiovascular Nursing,"Numeracy, Health literacy, Literacy, Medicine, Information literacy, Health care, Medical education, Best practice, Psychology, Pedagogy, Political science, Law",8,Machine Learning in Clinical Data Analysis,"In this article, we introduce the importance of considering health literacy, defining it and related concepts including numeracy, graph literacy, and digital literacy, and discuss open questions about measuring health literacy in clinical care."
